task_id,task_description
0,pick up the black bowl between the plate and the ramekin and place it on the plate
1,pick up the black bowl next to the ramekin and place it on the plate
2,pick up the black bowl from table center and place it on the plate
3,pick up the black bowl on the cookie box and place it on the plate
4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
5,pick up the black bowl on the ramekin and place it on the plate
6,pick up the black bowl next to the cookie box and place it on the plate
7,pick up the black bowl on the stove and place it on the plate
8,pick up the black bowl next to the plate and place it on the plate
9,pick up the black bowl on the wooden cabinet and place it on the plate
